run,n,thread_no,time,speedup,efficiency
1,2000,1,0.021699,1,1.0
2,2000,1,0.021793,1,1.0
3,2000,1,0.03204,1,1.0
4,2000,1,0.023218,1,1.0
5,2000,1,0.021779,1,1.0
6,2000,1,0.023733,1,1.0
7,2000,1,0.023672,1,1.0
8,2000,1,0.022843,1,1.0
9,2000,1,0.027485,1,1.0
10,2000,1,0.023771,1,1.0
1,2000,2,0.013078,1.8506881786205842,0.9253440893102921
2,2000,2,0.013682,1.7689884519807046,0.8844942259903523
3,2000,2,0.012516,1.9337887503994888,0.9668943751997444
4,2000,2,0.013555,1.7855625230542236,0.8927812615271118
5,2000,2,0.013113,1.845748493861054,0.922874246930527
6,2000,2,0.012573,1.9250218722659667,0.9625109361329833
7,2000,2,0.014526,1.6662054247556106,0.8331027123778053
8,2000,2,0.012383,1.9545586691431802,0.9772793345715901
9,2000,2,0.012479,1.939522397628015,0.9697611988140075
10,2000,2,0.012676,1.9093799305774692,0.9546899652887346
1,2000,4,0.007537,3.211264428817832,0.802816107204458
2,2000,4,0.008571,2.823859526309649,0.7059648815774122
3,2000,4,0.007698,3.144102364250455,0.7860255910626137
4,2000,4,0.008438,2.868369281820337,0.7170923204550842
5,2000,4,0.007849,3.0836157472289463,0.7709039368072366
6,2000,4,0.008512,2.8434328007518794,0.7108582001879699
7,2000,4,0.008617,2.8087849599628645,0.7021962399907161
8,2000,4,0.008665,2.793225620311598,0.6983064050778995
9,2000,4,0.00757,3.1972655217965653,0.7993163804491413
10,2000,4,0.007616,3.177954306722689,0.7944885766806723
1,2000,8,0.006391,3.7870912220309814,0.47338640275387267
2,2000,8,0.005255,4.605765937202664,0.575720742150333
3,2000,8,0.005491,4.407812784556547,0.5509765980695683
4,2000,8,0.006141,3.9412636378439996,0.49265795473049995
5,2000,8,0.005685,4.257396657871592,0.532174582233949
6,2000,8,0.005144,4.705151632970451,0.5881439541213064
7,2000,8,0.005575,4.341399103139014,0.5426748878923767
8,2000,8,0.005584,4.334401862464183,0.5418002328080229
9,2000,8,0.005935,4.078062342038753,0.5097577927548441
10,2000,8,0.006208,3.8987274484536085,0.48734093105670107
1,2000,16,0.005972,4.052796383121232,0.253299773945077
2,2000,16,0.007712,3.1383947095435687,0.19614966934647304
3,2000,16,0.007546,3.2074344023323618,0.2004646501457726
4,2000,16,0.006495,3.7264511162432643,0.23290319476520402
5,2000,16,0.013099,1.8477212000916101,0.11548257500572563
6,2000,16,0.007388,3.2760286951813753,0.20475179344883596
7,2000,16,0.006838,3.5395291020766306,0.22122056887978941
8,2000,16,0.007401,3.270274287258479,0.20439214295365493
9,2000,16,0.007639,3.1683859143867,0.19802411964916874
10,2000,16,0.00704,3.43796875,0.214873046875
1,2000,24,0.008242,2.936580926959476,0.1223575386233115
2,2000,24,0.008147,2.97082361605499,0.12378431733562457
3,2000,24,0.007026,3.444819242812411,0.1435341351171838
4,2000,24,0.008438,2.868369281820337,0.11951538674251404
5,2000,24,0.007995,3.027304565353346,0.12613769022305607
6,2000,24,0.008675,2.7900057636887605,0.11625024015369835
7,2000,24,0.009343,2.590527667772664,0.107938652823861
8,2000,24,0.008344,2.9006831255992327,0.12086179689996802
9,2000,24,0.008637,2.8022808845664002,0.1167617035236
10,2000,24,0.008126,2.9785011075559935,0.12410421281483307
1,4000,1,0.082003,1,1.0
2,4000,1,0.086264,1,1.0
3,4000,1,0.088589,1,1.0
4,4000,1,0.079749,1,1.0
5,4000,1,0.088017,1,1.0
6,4000,1,0.081112,1,1.0
7,4000,1,0.094767,1,1.0
8,4000,1,0.083039,1,1.0
9,4000,1,0.095342,1,1.0
10,4000,1,0.083952,1,1.0
1,4000,2,0.040626,2.1238467976172895,1.0619233988086447
2,4000,2,0.04224,2.042694128787879,1.0213470643939395
3,4000,2,0.040327,2.1395938205172715,1.0697969102586358
4,4000,2,0.041272,2.090603799185889,1.0453018995929444
5,4000,2,0.049718,1.735455971680277,0.8677279858401385
6,4000,2,0.044111,1.956051778467956,0.978025889233978
7,4000,2,0.041197,2.094409787120422,1.047204893560211
8,4000,2,0.043093,2.0022602278792383,1.0011301139396191
9,4000,2,0.043713,1.9738613227186421,0.9869306613593211
10,4000,2,0.042084,2.050266134397871,1.0251330671989356
1,4000,4,0.021944,3.931981407218374,0.9829953518045935
2,4000,4,0.022445,3.8442147471597243,0.9610536867899311
3,4000,4,0.024142,3.5739955264683956,0.8934988816170989
4,4000,4,0.026186,3.2950202398228066,0.8237550599557016
5,4000,4,0.021724,3.9718007733382437,0.9929501933345609
6,4000,4,0.022361,3.8586556951835793,0.9646639237958948
7,4000,4,0.027069,3.187535557279545,0.7968838893198863
8,4000,4,0.022435,3.8459282371294856,0.9614820592823714
9,4000,4,0.023383,3.6900055595945775,0.9225013898986444
10,4000,4,0.022439,3.8452426578724546,0.9613106644681136
1,4000,8,0.014234,6.061781649571449,0.7577227061964311
2,4000,8,0.013262,6.506062434022019,0.8132578042527524
3,4000,8,0.013493,6.394678722300453,0.7993348402875566
4,4000,8,0.013598,6.345300779526402,0.7931625974408002
5,4000,8,0.013728,6.285212703962705,0.7856515879953381
6,4000,8,0.014664,5.884028914348064,0.735503614293508
7,4000,8,0.015424,5.594100103734441,0.6992625129668051
8,4000,8,0.014631,5.897300252887705,0.7371625316109631
9,4000,8,0.01759,4.90525298465037,0.6131566230812963
10,4000,8,0.013369,6.45399057521131,0.8067488219014137
1,4000,16,0.016719,5.1607990908547166,0.3225499431784198
2,4000,16,0.0123,7.014910569105692,0.43843191056910574
3,4000,16,0.014892,5.793943056674725,0.3621214410421703
4,4000,16,0.016309,5.2905389662149735,0.33065868538843585
5,4000,16,0.014255,6.052851631006665,0.37830322693791657
6,4000,16,0.012375,6.97239595959596,0.4357747474747475
7,4000,16,0.018372,4.69646200740257,0.2935288754626606
8,4000,16,0.018718,4.60964846671653,0.28810302916978314
9,4000,16,0.018023,4.787404982522333,0.29921281140764583
10,4000,16,0.012253,7.0418183302048485,0.44011364563780303
1,4000,24,0.015587,5.5356001796368774,0.23065000748486988
2,4000,24,0.0158,5.460974683544304,0.227540611814346
3,4000,24,0.015952,5.408939317953862,0.2253724715814109
4,4000,24,0.014948,5.772237088573723,0.2405098786905718
5,4000,24,0.014803,5.828777950415457,0.2428657479339774
6,4000,24,0.014492,5.953864200938449,0.24807767503910205
7,4000,24,0.013658,6.317425684580466,0.26322607019085276
8,4000,24,0.017977,4.799655114869,0.19998562978620835
9,4000,24,0.017494,4.932171030067453,0.20550712625281053
10,4000,24,0.017886,4.824074695292408,0.20100311230385035
1,8000,1,0.307554,1,1.0
2,8000,1,0.302611,1,1.0
3,8000,1,0.304584,1,1.0
4,8000,1,0.310853,1,1.0
5,8000,1,0.330357,1,1.0
6,8000,1,0.306992,1,1.0
7,8000,1,0.302927,1,1.0
8,8000,1,0.304701,1,1.0
9,8000,1,0.305484,1,1.0
10,8000,1,0.306145,1,1.0
1,8000,2,0.15394,2.0022138495517736,1.0011069247758868
2,8000,2,0.154577,1.9939628793416875,0.9969814396708437
3,8000,2,0.17151,1.7971010436709232,0.8985505218354616
4,8000,2,0.152839,2.016637114872513,1.0083185574362565
5,8000,2,0.153485,2.0081493305534743,1.0040746652767372
6,8000,2,0.153519,2.0077045837974454,1.0038522918987227
7,8000,2,0.15379,2.0041667208531115,1.0020833604265558
8,8000,2,0.153946,2.002135813856807,1.0010679069284034
9,8000,2,0.154532,1.9945435249657029,0.9972717624828514
10,8000,2,0.156501,1.9694493964894795,0.9847246982447397
1,8000,4,0.08014,3.846029448465186,0.9615073621162965
2,8000,4,0.077926,3.9553011831737805,0.9888252957934451
3,8000,4,0.08029,3.838844189811932,0.959711047452983
4,8000,4,0.079977,3.8538679870462755,0.9634669967615689
5,8000,4,0.078787,3.9120768654727307,0.9780192163681827
6,8000,4,0.079073,3.8979272317984646,0.9744818079496161
7,8000,4,0.079621,3.8710993330905166,0.9677748332726291
8,8000,4,0.078389,3.9319394302772075,0.9829848575693019
9,8000,4,0.079546,3.8747492017197596,0.9686873004299399
10,8000,4,0.078354,3.9336957908977213,0.9834239477244303
1,8000,8,0.043225,7.130614227877386,0.8913267784846732
2,8000,8,0.045217,6.816480527235332,0.8520600659044165
3,8000,8,0.044284,6.960093939120225,0.8700117423900281
4,8000,8,0.042707,7.2171025827147774,0.9021378228393472
5,8000,8,0.043825,7.032990302338848,0.879123787792356
6,8000,8,0.047504,6.4883125631525775,0.8110390703940722
7,8000,8,0.045277,6.807447489895533,0.8509309362369416
8,8000,8,0.045348,6.796789274058393,0.8495986592572992
9,8000,8,0.045472,6.778254750175933,0.8472818437719917
10,8000,8,0.045646,6.752416422030408,0.844052052753801
1,8000,16,0.039004,7.9022869449287265,0.4938929340580454
2,8000,16,0.036734,8.39061360047912,0.524413350029945
3,8000,16,0.037271,8.269721767594108,0.5168576104746317
4,8000,16,0.039241,7.854560281338397,0.4909100175836498
5,8000,16,0.038285,8.050693483087372,0.5031683426929607
6,8000,16,0.036162,8.523333886400088,0.5327083679000055
7,8000,16,0.039264,7.849959250203749,0.49062245313773434
8,8000,16,0.038943,7.914665023239094,0.49466656395244335
9,8000,16,0.034952,8.818402380407417,0.5511501487754635
10,8000,16,0.037761,8.162410953099759,0.5101506845687349
1,8000,24,0.038822,7.93933336767812,0.33080555698658837
2,8000,24,0.036638,8.41259894099023,0.3505249558745929
3,8000,24,0.035225,8.750058197303053,0.36458575822096057
4,8000,24,0.035496,8.68325445120577,0.3618022688002404
5,8000,24,0.035063,8.79048569717366,0.3662702373822358
6,8000,24,0.035249,8.744100541859343,0.3643375225774726
7,8000,24,0.035327,8.724794066861042,0.3635330861192101
8,8000,24,0.036753,8.386275950262563,0.34942816459427345
9,8000,24,0.048005,6.420597854390168,0.2675249105995903
10,8000,24,0.035566,8.666164314232695,0.36109017975969565
1,16000,1,1.206402,1,1.0
2,16000,1,1.202842,1,1.0
3,16000,1,1.202285,1,1.0
4,16000,1,1.202036,1,1.0
5,16000,1,1.202378,1,1.0
6,16000,1,1.200452,1,1.0
7,16000,1,1.204241,1,1.0
8,16000,1,1.207389,1,1.0
9,16000,1,1.202688,1,1.0
10,16000,1,1.225822,1,1.0
1,16000,2,0.603498,1.9977754690156388,0.9988877345078194
2,16000,2,0.60243,2.0013171654798065,1.0006585827399033
3,16000,2,0.60506,1.9926180874624002,0.9963090437312001
4,16000,2,0.605395,1.9915154568504858,0.9957577284252429
5,16000,2,0.602447,2.001260691811894,1.000630345905947
6,16000,2,0.609496,1.978115524958326,0.989057762479163
7,16000,2,0.610223,1.9757588619242474,0.9878794309621237
8,16000,2,0.6045,1.9944640198511163,0.9972320099255582
9,16000,2,0.603006,1.999405478552452,0.999702739276226
10,16000,2,0.602995,1.999441952254994,0.999720976127497
1,16000,4,0.30392,3.96700941037115,0.9917523525927875
2,16000,4,0.303846,3.9679755534053434,0.9919938883513358
3,16000,4,0.303112,3.9775841933014857,0.9943960483253714
4,16000,4,0.303545,3.9719102604226717,0.9929775651056679
5,16000,4,0.303476,3.972813336145197,0.9932033340362992
6,16000,4,0.302978,3.9793433846681934,0.9948358461670483
7,16000,4,0.308079,3.9134556396249014,0.9783639099062253
8,16000,4,0.30664,3.931820701800156,0.982955175450039
9,16000,4,0.310391,3.8843056016443778,0.9710764004110944
10,16000,4,0.305888,3.941486753321477,0.9853716883303693
1,16000,8,0.15416,7.820793331603529,0.9775991664504411
2,16000,8,0.155564,7.750208917230207,0.9687761146537759
3,16000,8,0.158278,7.617315735604442,0.9521644669505552
4,16000,8,0.164283,7.338881685871331,0.9173602107339164
5,16000,8,0.156449,7.706367570262513,0.9632959462828141
6,16000,8,0.163808,7.360162507325649,0.9200203134157061
7,16000,8,0.160544,7.509801051425154,0.9387251314281443
8,16000,8,0.157636,7.648338577482301,0.9560423221852876
9,16000,8,0.167753,7.187075640972143,0.8983844551215179
10,16000,8,0.161497,7.465485426973875,0.9331856783717344
1,16000,16,0.12831,9.396411035772736,0.587275689735796
2,16000,16,0.127699,9.441369940250118,0.5900856212656324
3,16000,16,0.127386,9.464568319909565,0.5915355199943478
