run,n,thread_no,time
1,2000,1,0.024368
2,2000,1,0.022797
3,2000,1,0.027417
4,2000,1,0.022207
5,2000,1,0.025443
6,2000,1,0.023304
7,2000,1,0.023123
8,2000,1,0.021966
9,2000,1,0.023979
10,2000,1,0.024725
1,2000,2,0.019439
2,2000,2,0.017281
3,2000,2,0.016232
4,2000,2,0.015593
5,2000,2,0.012836
6,2000,2,0.01452
7,2000,2,0.016337
8,2000,2,0.032698
9,2000,2,0.017612
10,2000,2,0.018692
1,2000,4,0.008341
2,2000,4,0.00828
3,2000,4,0.008473
4,2000,4,0.008845
5,2000,4,0.00886
6,2000,4,0.008662
7,2000,4,0.007698
8,2000,4,0.007704
9,2000,4,0.007652
10,2000,4,0.00854
1,2000,8,0.006072
2,2000,8,0.005742
3,2000,8,0.006496
4,2000,8,0.006076
5,2000,8,0.006352
6,2000,8,0.006324
7,2000,8,0.006643
8,2000,8,0.006093
9,2000,8,0.005896
10,2000,8,0.007346
1,2000,16,0.007503
2,2000,16,0.007514
3,2000,16,0.007926
4,2000,16,0.0069
5,2000,16,0.007834
6,2000,16,0.006799
7,2000,16,0.006808
8,2000,16,0.00764
9,2000,16,0.007424
10,2000,16,0.006696
1,2000,24,0.007723
2,2000,24,0.008805
3,2000,24,0.008727
4,2000,24,0.00812
5,2000,24,0.008265
6,2000,24,0.007613
7,2000,24,0.008985
8,2000,24,0.011335
9,2000,24,0.009127
10,2000,24,0.008463
1,4000,1,0.090305
2,4000,1,0.081437
3,4000,1,0.091712
4,4000,1,0.079946
5,4000,1,0.08064
6,4000,1,0.081414
7,4000,1,0.082233
8,4000,1,0.099719
9,4000,1,0.084141
10,4000,1,0.078389
1,4000,2,0.051902
2,4000,2,0.05206
3,4000,2,0.041208
4,4000,2,0.041135
5,4000,2,0.042419
6,4000,2,0.04062
7,4000,2,0.044765
8,4000,2,0.052282
9,4000,2,0.041188
10,4000,2,0.04105
1,4000,4,0.022298
2,4000,4,0.025878
3,4000,4,0.024624
4,4000,4,0.021791
5,4000,4,0.025492
6,4000,4,0.023999
7,4000,4,0.021778
8,4000,4,0.02203
9,4000,4,0.025251
10,4000,4,0.026044
1,4000,8,0.013865
2,4000,8,0.014576
3,4000,8,0.014883
4,4000,8,0.013797
5,4000,8,0.013898
