run,res,thread_no,omp_schedule,time,speedup,efficiency
1,500,1,dynamic,793.0,,
2,500,1,dynamic,803.0,,
3,500,1,dynamic,800.0,,
4,500,1,dynamic,799.0,,
5,500,1,dynamic,812.0,,
6,500,1,dynamic,793.0,,
7,500,1,dynamic,801.0,,
8,500,1,dynamic,801.0,,
9,500,1,dynamic,796.0,,
10,500,1,dynamic,794.0,,
1,500,1,static,802.0,,
2,500,1,static,813.0,,
3,500,1,static,843.0,,
4,500,1,static,806.0,,
5,500,1,static,803.0,,
6,500,1,static,805.0,,
7,500,1,static,804.0,,
8,500,1,static,804.0,,
9,500,1,static,807.0,,
10,500,1,static,805.0,,
1,1000,1,dynamic,3167.0,,
2,1000,1,dynamic,3166.0,,
3,1000,1,dynamic,3171.0,,
4,1000,1,dynamic,3168.0,,
5,1000,1,dynamic,3165.0,,
6,1000,1,dynamic,3165.0,,
7,1000,1,dynamic,3165.0,,
8,1000,1,dynamic,3165.0,,
9,1000,1,dynamic,3168.0,,
10,1000,1,dynamic,3164.0,,
1,1000,1,static,3199.0,,
2,1000,1,static,3201.0,,
3,1000,1,static,3210.0,,
4,1000,1,static,3205.0,,
5,1000,1,static,3203.0,,
6,1000,1,static,3206.0,,
7,1000,1,static,3208.0,,
8,1000,1,static,3201.0,,
9,1000,1,static,3207.0,,
10,1000,1,static,3211.0,,
1,1500,1,dynamic,7093.0,,
2,1500,1,dynamic,7091.0,,
3,1500,1,dynamic,7089.0,,
4,1500,1,dynamic,7094.0,,
5,1500,1,dynamic,7089.0,,
6,1500,1,dynamic,7089.0,,
7,1500,1,dynamic,7098.0,,
8,1500,1,dynamic,7093.0,,
9,1500,1,dynamic,7091.0,,
10,1500,1,dynamic,7096.0,,
1,1500,1,static,7116.0,,
2,1500,1,static,7116.0,,
3,1500,1,static,7115.0,,
4,1500,1,static,7115.0,,
5,1500,1,static,7115.0,,
6,1500,1,static,7115.0,,
7,1500,1,static,7119.0,,
8,1500,1,static,7116.0,,
9,1500,1,static,7116.0,,
10,1500,1,static,7115.0,,
1,2000,1,dynamic,12651.0,,
2,2000,1,dynamic,12644.0,,
3,2000,1,dynamic,12647.0,,
4,2000,1,dynamic,12645.0,,
5,2000,1,dynamic,12644.0,,
6,2000,1,dynamic,12647.0,,
7,2000,1,dynamic,12646.0,,
8,2000,1,dynamic,12645.0,,
9,2000,1,dynamic,12644.0,,
10,2000,1,dynamic,12643.0,,
1,2000,1,static,12764.0,,
2,2000,1,static,12758.0,,
3,2000,1,static,12759.0,,
4,2000,1,static,12773.0,,
5,2000,1,static,12765.0,,
6,2000,1,static,12761.0,,
7,2000,1,static,12770.0,,
8,2000,1,static,12767.0,,
9,2000,1,static,12758.0,,
10,2000,1,static,12768.0,,
1,500,2,dynamic,406.0,,
2,500,2,dynamic,407.0,,
3,500,2,dynamic,406.0,,
4,500,2,dynamic,405.0,,
5,500,2,dynamic,409.0,,
6,500,2,dynamic,406.0,,
7,500,2,dynamic,406.0,,
8,500,2,dynamic,408.0,,
9,500,2,dynamic,406.0,,
10,500,2,dynamic,406.0,,
1,500,2,static,405.0,,
2,500,2,static,405.0,,
3,500,2,static,405.0,,
4,500,2,static,407.0,,
5,500,2,static,406.0,,
6,500,2,static,405.0,,
7,500,2,static,405.0,,
8,500,2,static,412.0,,
9,500,2,static,404.0,,
10,500,2,static,405.0,,
1,1000,2,dynamic,1619.0,,
2,1000,2,dynamic,1619.0,,
3,1000,2,dynamic,1618.0,,
4,1000,2,dynamic,1618.0,,
5,1000,2,dynamic,1616.0,,
6,1000,2,dynamic,1615.0,,
7,1000,2,dynamic,1617.0,,
8,1000,2,dynamic,1615.0,,
9,1000,2,dynamic,1616.0,,
10,1000,2,dynamic,1617.0,,
1,1000,2,static,1606.0,,
2,1000,2,static,1609.0,,
3,1000,2,static,1604.0,,
4,1000,2,static,1602.0,,
5,1000,2,static,1604.0,,
6,1000,2,static,1608.0,,
7,1000,2,static,1603.0,,
8,1000,2,static,1607.0,,
9,1000,2,static,1608.0,,
10,1000,2,static,1608.0,,
1,1500,2,dynamic,3664.0,,
2,1500,2,dynamic,3618.0,,
3,1500,2,dynamic,3622.0,,
4,1500,2,dynamic,3620.0,,
5,1500,2,dynamic,3620.0,,
6,1500,2,dynamic,3618.0,,
7,1500,2,dynamic,3618.0,,
8,1500,2,dynamic,3618.0,,
9,1500,2,dynamic,3619.0,,
10,1500,2,dynamic,3619.0,,
1,1500,2,static,3564.0,,
2,1500,2,static,3562.0,,
3,1500,2,static,3562.0,,
4,1500,2,static,3563.0,,
5,1500,2,static,3562.0,,
6,1500,2,static,3837.0,,
7,1500,2,static,3563.0,,
8,1500,2,static,3562.0,,
9,1500,2,static,3561.0,,
10,1500,2,static,3652.0,,
1,2000,2,dynamic,6455.0,,
2,2000,2,dynamic,6456.0,,
3,2000,2,dynamic,6454.0,,
4,2000,2,dynamic,6458.0,,
5,2000,2,dynamic,6455.0,,
6,2000,2,dynamic,6454.0,,
7,2000,2,dynamic,6455.0,,
8,2000,2,dynamic,6454.0,,
9,2000,2,dynamic,6456.0,,
10,2000,2,dynamic,6460.0,,
1,2000,2,static,6383.0,,
2,2000,2,static,6379.0,,
3,2000,2,static,6391.0,,
4,2000,2,static,6391.0,,
5,2000,2,static,6382.0,,
6,2000,2,static,6389.0,,
7,2000,2,static,6383.0,,
8,2000,2,static,6396.0,,
