run,res,optim,time
1,500,True,836.0
2,500,True,837.0
3,500,True,837.0
4,500,True,838.0
5,500,True,838.0
6,500,True,837.0
7,500,True,836.0
8,500,True,835.0
9,500,True,839.0
10,500,True,837.0
1,500,False,848.0
2,500,False,849.0
3,500,False,850.0
4,500,False,850.0
5,500,False,850.0
6,500,False,848.0
7,500,False,848.0
8,500,False,848.0
9,500,False,848.0
10,500,False,848.0
1,1000,True,3345.0
2,1000,True,3346.0
3,1000,True,3347.0
4,1000,True,3345.0
5,1000,True,3346.0
6,1000,True,3346.0
7,1000,True,3345.0
8,1000,True,3345.0
9,1000,True,3356.0
10,1000,True,3345.0
1,1000,False,3389.0
2,1000,False,3389.0
3,1000,False,3390.0
4,1000,False,3390.0
5,1000,False,3393.0
6,1000,False,3390.0
7,1000,False,3389.0
8,1000,False,3393.0
9,1000,False,3389.0
10,1000,False,3397.0
1,1500,True,7467.0
2,1500,True,7464.0
3,1500,True,7462.0
4,1500,True,7458.0
5,1500,True,7469.0
6,1500,True,7461.0
7,1500,True,7464.0
8,1500,True,7466.0
9,1500,True,7463.0
10,1500,True,7468.0
1,1500,False,7627.0
2,1500,False,7625.0
3,1500,False,7624.0
4,1500,False,7625.0
5,1500,False,7625.0
6,1500,False,7645.0
7,1500,False,7624.0
8,1500,False,7624.0
9,1500,False,7624.0
10,1500,False,7627.0
1,2000,True,13373.0
2,2000,True,13381.0
3,2000,True,13361.0
4,2000,True,13375.0
5,2000,True,13377.0
6,2000,True,13374.0
7,2000,True,13322.0
8,2000,True,13321.0
9,2000,True,13344.0
10,2000,True,13338.0
1,2000,False,13546.0
2,2000,False,13549.0
3,2000,False,13581.0
4,2000,False,13570.0
5,2000,False,13550.0
6,2000,False,13551.0
7,2000,False,13562.0
8,2000,False,13549.0
9,2000,False,13581.0
10,2000,False,13555.0
