run,res,thread_no,fma,ftype,omp_schedule,time
1,500,1,True,float,dynamic,169.0
2,500,1,True,float,dynamic,170.0
3,500,1,True,float,dynamic,171.0
4,500,1,True,float,dynamic,166.0
5,500,1,True,float,dynamic,166.0
6,500,1,True,float,dynamic,167.0
7,500,1,True,float,dynamic,167.0
8,500,1,True,float,dynamic,172.0
9,500,1,True,float,dynamic,167.0
10,500,1,True,float,dynamic,166.0
1,500,1,True,float,static,169.0
2,500,1,True,float,static,168.0
3,500,1,True,float,static,174.0
4,500,1,True,float,static,169.0
5,500,1,True,float,static,168.0
6,500,1,True,float,static,170.0
7,500,1,True,float,static,169.0
8,500,1,True,float,static,169.0
9,500,1,True,float,static,170.0
10,500,1,True,float,static,167.0
1,500,1,True,double,dynamic,310.0
2,500,1,True,double,dynamic,310.0
3,500,1,True,double,dynamic,321.0
4,500,1,True,double,dynamic,316.0
5,500,1,True,double,dynamic,313.0
6,500,1,True,double,dynamic,314.0
7,500,1,True,double,dynamic,315.0
8,500,1,True,double,dynamic,310.0
9,500,1,True,double,dynamic,313.0
10,500,1,True,double,dynamic,310.0
1,500,1,True,double,static,321.0
2,500,1,True,double,static,325.0
3,500,1,True,double,static,322.0
4,500,1,True,double,static,321.0
5,500,1,True,double,static,319.0
6,500,1,True,double,static,326.0
7,500,1,True,double,static,325.0
8,500,1,True,double,static,326.0
9,500,1,True,double,static,308.0
10,500,1,True,double,static,321.0
1,500,1,False,float,dynamic,176.0
2,500,1,False,float,dynamic,176.0
3,500,1,False,float,dynamic,176.0
4,500,1,False,float,dynamic,175.0
5,500,1,False,float,dynamic,176.0
6,500,1,False,float,dynamic,181.0
7,500,1,False,float,dynamic,177.0
8,500,1,False,float,dynamic,177.0
9,500,1,False,float,dynamic,179.0
10,500,1,False,float,dynamic,180.0
1,500,1,False,float,static,172.0
2,500,1,False,float,static,172.0
3,500,1,False,float,static,172.0
4,500,1,False,float,static,173.0
5,500,1,False,float,static,179.0
6,500,1,False,float,static,176.0
7,500,1,False,float,static,173.0
8,500,1,False,float,static,172.0
9,500,1,False,float,static,173.0
10,500,1,False,float,static,174.0
1,500,1,False,double,dynamic,334.0
2,500,1,False,double,dynamic,329.0
3,500,1,False,double,dynamic,333.0
4,500,1,False,double,dynamic,331.0
5,500,1,False,double,dynamic,331.0
6,500,1,False,double,dynamic,330.0
7,500,1,False,double,dynamic,333.0
8,500,1,False,double,dynamic,332.0
9,500,1,False,double,dynamic,330.0
10,500,1,False,double,dynamic,334.0
1,500,1,False,double,static,333.0
2,500,1,False,double,static,333.0
3,500,1,False,double,static,336.0
4,500,1,False,double,static,333.0
5,500,1,False,double,static,333.0
6,500,1,False,double,static,333.0
7,500,1,False,double,static,336.0
8,500,1,False,double,static,333.0
9,500,1,False,double,static,338.0
10,500,1,False,double,static,337.0
