run,resolution,thread_x,thread_y,time_gpu,ftype
1,500,1,1,4075.0,float
2,500,1,1,3782.0,float
3,500,1,1,3792.0,float
4,500,1,1,3795.0,float
5,500,1,1,3807.0,float
6,500,1,1,3796.0,float
7,500,1,1,3801.0,float
8,500,1,1,3801.0,float
9,500,1,1,3795.0,float
10,500,1,1,3797.0,float
1,500,1,1,5101.0,double
2,500,1,1,5161.0,double
3,500,1,1,5174.0,double
4,500,1,1,5166.0,double
5,500,1,1,5169.0,double
6,500,1,1,5181.0,double
7,500,1,1,5167.0,double
8,500,1,1,5168.0,double
9,500,1,1,5168.0,double
10,500,1,1,5168.0,double
1,500,1,2,1969.0,float
2,500,1,2,1963.0,float
3,500,1,2,1939.0,float
4,500,1,2,1963.0,float
5,500,1,2,1967.0,float
6,500,1,2,1980.0,float
7,500,1,2,1964.0,float
8,500,1,2,1944.0,float
9,500,1,2,1964.0,float
10,500,1,2,1963.0,float
1,500,1,2,2643.0,double
2,500,1,2,2635.0,double
3,500,1,2,2644.0,double
4,500,1,2,2639.0,double
5,500,1,2,2641.0,double
6,500,1,2,2613.0,double
7,500,1,2,2647.0,double
8,500,1,2,2641.0,double
9,500,1,2,2635.0,double
10,500,1,2,2637.0,double
1,500,1,4,1025.0,float
2,500,1,4,1025.0,float
3,500,1,4,1025.0,float
4,500,1,4,1033.0,float
5,500,1,4,1025.0,float
6,500,1,4,1035.0,float
7,500,1,4,1029.0,float
8,500,1,4,1030.0,float
9,500,1,4,1025.0,float
10,500,1,4,1028.0,float
1,500,1,4,1371.0,double
2,500,1,4,1369.0,double
3,500,1,4,1368.0,double
4,500,1,4,1370.0,double
5,500,1,4,1368.0,double
6,500,1,4,1371.0,double
7,500,1,4,1368.0,double
8,500,1,4,1378.0,double
9,500,1,4,1367.0,double
10,500,1,4,1367.0,double
1,500,1,8,557.0,float
2,500,1,8,557.0,float
3,500,1,8,556.0,float
4,500,1,8,560.0,float
5,500,1,8,552.0,float
6,500,1,8,551.0,float
7,500,1,8,558.0,float
8,500,1,8,556.0,float
9,500,1,8,555.0,float
10,500,1,8,560.0,float
1,500,1,8,727.0,double
2,500,1,8,725.0,double
3,500,1,8,729.0,double
4,500,1,8,729.0,double
5,500,1,8,732.0,double
6,500,1,8,730.0,double
7,500,1,8,734.0,double
8,500,1,8,741.0,double
9,500,1,8,727.0,double
10,500,1,8,739.0,double
1,500,1,16,320.0,float
2,500,1,16,318.0,float
3,500,1,16,317.0,float
4,500,1,16,318.0,float
5,500,1,16,323.0,float
6,500,1,16,293.0,float
7,500,1,16,322.0,float
8,500,1,16,318.0,float
9,500,1,16,321.0,float
10,500,1,16,324.0,float
1,500,1,16,385.0,double
2,500,1,16,412.0,double
3,500,1,16,382.0,double
4,500,1,16,410.0,double
5,500,1,16,409.0,double
6,500,1,16,383.0,double
7,500,1,16,405.0,double
8,500,1,16,406.0,double
9,500,1,16,408.0,double
10,500,1,16,404.0,double
1,500,2,1,1974.0,float
2,500,2,1,1961.0,float
3,500,2,1,1960.0,float
4,500,2,1,1959.0,float
5,500,2,1,1964.0,float
6,500,2,1,1967.0,float
7,500,2,1,1967.0,float
8,500,2,1,1967.0,float
9,500,2,1,1971.0,float
10,500,2,1,1960.0,float
1,500,2,1,2641.0,double
2,500,2,1,2637.0,double
3,500,2,1,2637.0,double
4,500,2,1,2635.0,double
5,500,2,1,2643.0,double
6,500,2,1,2635.0,double
7,500,2,1,2648.0,double
8,500,2,1,2639.0,double
9,500,2,1,2638.0,double
10,500,2,1,2616.0,double
1,500,2,2,1023.0,float
2,500,2,2,1022.0,float
3,500,2,2,1023.0,float
4,500,2,2,1024.0,float
5,500,2,2,1020.0,float
6,500,2,2,1018.0,float
7,500,2,2,1024.0,float
8,500,2,2,1026.0,float
9,500,2,2,1026.0,float
10,500,2,2,1023.0,float
1,500,2,2,1364.0,double
2,500,2,2,1366.0,double
3,500,2,2,1372.0,double
4,500,2,2,1364.0,double
5,500,2,2,1360.0,double
6,500,2,2,1366.0,double
7,500,2,2,1361.0,double
8,500,2,2,1337.0,double
9,500,2,2,1367.0,double
10,500,2,2,1337.0,double
1,500,2,4,557.0,float
2,500,2,4,551.0,float
3,500,2,4,552.0,float
4,500,2,4,549.0,float
5,500,2,4,555.0,float
6,500,2,4,551.0,float
7,500,2,4,551.0,float
8,500,2,4,527.0,float
9,500,2,4,549.0,float
10,500,2,4,547.0,float
1,500,2,4,698.0,double
2,500,2,4,726.0,double
3,500,2,4,728.0,double
4,500,2,4,723.0,double
5,500,2,4,707.0,double
6,500,2,4,728.0,double
7,500,2,4,723.0,double
8,500,2,4,728.0,double
9,500,2,4,727.0,double
10,500,2,4,727.0,double
1,500,2,8,312.0,float
2,500,2,8,318.0,float
3,500,2,8,318.0,float
4,500,2,8,318.0,float
5,500,2,8,317.0,float
6,500,2,8,319.0,float
7,500,2,8,315.0,float
8,500,2,8,291.0,float
9,500,2,8,310.0,float
10,500,2,8,312.0,float
1,500,2,8,402.0,double
2,500,2,8,407.0,double
3,500,2,8,399.0,double
4,500,2,8,402.0,double
5,500,2,8,395.0,double
6,500,2,8,400.0,double
7,500,2,8,399.0,double
8,500,2,8,403.0,double
9,500,2,8,399.0,double
10,500,2,8,400.0,double
1,500,2,16,201.0,float
2,500,2,16,194.0,float
3,500,2,16,196.0,float
4,500,2,16,191.0,float
5,500,2,16,192.0,float
6,500,2,16,197.0,float
7,500,2,16,195.0,float
8,500,2,16,194.0,float
9,500,2,16,196.0,float
10,500,2,16,199.0,float
1,500,2,16,243.0,double
2,500,2,16,214.0,double
3,500,2,16,214.0,double
4,500,2,16,214.0,double
5,500,2,16,237.0,double
6,500,2,16,236.0,double
7,500,2,16,238.0,double
8,500,2,16,243.0,double
9,500,2,16,240.0,double
10,500,2,16,244.0,double
1,500,4,1,1000.0,float
2,500,4,1,1028.0,float
3,500,4,1,1027.0,float
4,500,4,1,1000.0,float
5,500,4,1,1029.0,float
6,500,4,1,1026.0,float
7,500,4,1,1024.0,float
8,500,4,1,1002.0,float
9,500,4,1,1029.0,float
10,500,4,1,1025.0,float
1,500,4,1,1373.0,double
2,500,4,1,1371.0,double
3,500,4,1,1369.0,double
4,500,4,1,1362.0,double
5,500,4,1,1363.0,double
6,500,4,1,1368.0,double
7,500,4,1,1371.0,double
8,500,4,1,1365.0,double
9,500,4,1,1365.0,double
10,500,4,1,1367.0,double
1,500,4,2,554.0,float
2,500,4,2,550.0,float
3,500,4,2,546.0,float
4,500,4,2,550.0,float
5,500,4,2,557.0,float
6,500,4,2,551.0,float
7,500,4,2,566.0,float
8,500,4,2,548.0,float
9,500,4,2,553.0,float
10,500,4,2,557.0,float
1,500,4,2,728.0,double
2,500,4,2,723.0,double
3,500,4,2,696.0,double
4,500,4,2,729.0,double
5,500,4,2,720.0,double
6,500,4,2,725.0,double
7,500,4,2,725.0,double
8,500,4,2,698.0,double
9,500,4,2,722.0,double
10,500,4,2,697.0,double
